Denumire,Numar inreg Reg National,Starea actuala,sediu schimbat,organizatia trece in circumscriptia altei instante,Judet,Localitate,Adresa,Scopul initial,Modificari ale scopului 1,Modificari ale scopului 2,Modificari ale scopului 3,HG utilitate publica,Data HG utilitate publica,
ALIANTA JUDETEANA A SINDICATELOR LIBERE SATU MARE,466/D/1993,,,,SATU MARE,SATU MARE,STR. PASTRAVULUI 3-5,organizarea luptei unite a membrilor sindicatelor afiliate pentru apararea drepturilor si libertatilor constitutionale si legale, promovarea intereselor profesionale, economice, sociale si cultural-sportive ale membrilor de sindicat, dezvoltarea relatiilor de colaborare si solidaritate intre sindicate. alianta va actiona prin mijloace specifice luptei sindicale pentru realizarea obiectivelor din platforma program: reprezentarea intereselor sindicatelor si organizatiilor sindicale afiliate în relatiile cu organele locale ale puterii si administratiei de stat; acordarea de sprijin sindicatelor afiliate la negocierera si incheierea contractelor colective de munca; apărarea drepturilor si intereselor membrilor săi pentru asigurarea locuzrilor de munca fiecarui membru de sindicat, salarizarea echitabilă, locuinta, asigurari sociale, ocrotirea sanatati si mediului inconjurator; acordarea de catre stat a indemnizatiilor in caz de somaj, suportarea de către consiliile de administratie ale intreprinderilor, institutiilor si fioirmelor a cheltuielilor necesare recalificarii, in situatia pierderii locului de munca de către membrii sindicatelor; asigurarea conditiilor de muncă şi viaţă pentru femeile mame salariate, in vederea cresterii si educarii copiilor; apararea drepturilor conferite prin lege tinerilor si studentilor, asigurarea conditiilor optime de viata, munca si invatatura, acordarea de sprijin si asistenta de specialitate sindicatelor afiliate in exercitarea controlului asupra respectarii dispozitiilor referitoare la incheierea, executarea si incetarea contractelor de munca, incadrarea si promovarea in munca , salarizarea si normarea muncii, asigurarile sociale, functionarea cantinelor, caminelor, creselor, gradinitelor, policlinicilor si dispensarelor medicale; acordarea de asistenta juridica gratuita sindicatelor afiliate si membrilor de sindicat, in cauze civile ( patrimoniale) privind raporturile si conflictele de munca; efectuarea in intreprinderi si institutii a unor studii si analize privitoare la modul in care se respecta drepturile oamenilor muncii, protectia si igiena muncii, conditiile corespunzatoare de lucru si de viată; sprijinirea sindicatelor afiliate pentru trimiterea membrilor de sindicat la odihna si tratament in statiunile de odihna si balneoclimaterice; sprijinirea activitatii cultural-sportive desfasurata de sindicatele afiliate, initierea si organizarea de actiuni destinate petrecerii timpului liber al salariatilor.,sustinerea si promovarea drepturilor si intereselor sindicatelor afiliate la uniune ,apararea drepturilor salariatilor, prevazute in legislatia nationala, in pactele, tratatele si conventiile internationale la care  Romania este parte, in contractele colective si individuale de munca, precum şi in scopul promovarii intereselor  profesionale, economice, sociale, culturale si sportive ale membrilor acestora. AJSL este independenta fata de autoritatile publice, de partidele politice si de patronate, desfasurandu-si activitatea in conformitate cu prevederile propriului statut  si al Confederatiei Sindicatelor Democratice din Romania (CSDR),.,,,
ALIANTA NATIONALA A SINDICATELOR BUGETARILOR SED LEX,2472/D/2005,,,,BUCURESTI,BUCURESTI,SPLAIUL INDEPENDENTEI NR.202A, ET.4, SECTOR 6,,,,,,,
ALIANTA SINDICATELOR DIN SERVICIILE SI UTILITATILE LOCALE (ASSUL),2359/D/2004,,,,BUCURESTI,BUCURESTI,SPLAIUL INDEPENDENTEI NR.202A, ETAJ 9, CAMERA 28, SECTOR 6,- este de aparare si promovare a drepturilor sindicale de interes comun ale membrilor sai.,,,,,,
ALIANTA SINDICATELOR M/C DIN REGIONALA CFR TIMISOARA,24/D/1995,,,,ARAD,Timiºoara,Sediul Principal - Municipiul Timiºoara str. Gãrii nr.2 , cu sedii secundare Deva , Arad , Caransebeº.,Alianta Sindicatelor MC din Regionala CFR Timisoara are urm[toarele scopuri, obiective principale:,Apãrã drepturile ºi interesele profesionale  , economice ºi sociale ale membrilor sãi ce decurg din Constituþie , legislaþia muncii ºi prevederile contractelor individuale  ºi colective de muncã,Normal,,,,
ALIANŢA SINDICALĂ A METALURGIŞTILOR DE PE PLATFORMA TRACTORUL UTB SA BRAŞOV,51/D/2000,,,,BRASOV,BRAŞOV,TURNULUI NR.5,,,,,,,
ALIANŢA SINDICATELOR DIN ENEL DOBROGEA,10217/D/2009,dizolvata,,,CONSTANTA,CONSTANTA,STR. NICOLAE IORGA, NR.89A,,,,,,,
ALIAT TARGOVISTE,124/D/1990,,,,DAMBOVITA,Targoviste,str Tineretului nr 1, jud Dambovita,SA LUPTE PRIN MIJLOACE PROPRII IMPOTRIVA FASCISMULUI, NATIONALISMULUI , COSMOPOLITISMULUI, A ORCAREI FORME DE ABSOLUTISM, AVAND ORGAN DE PRESA PROPRIU- ZIARUL DE OPINIE SI INFORMARE "H 168" PRECUM SI UN ORGAN DE PREZENTARE ARTISTICA TRUPA "VIS",,,,,,
ARTISTILOR PLASTICI DIN ROMANIA,16/D/1999,,,,TULCEA,TULCEA,STR. UNIRII BL B2,organizeaza singura sau in colaborare expozitii , galerii de arta,,,,,,
ARTISTILOR PLASTICI DIN ROMANIA  FILIALA TG MURES,8/D/2000,,,,MURES,TG-MURES,P-TA VICTORIEI NR.1,Reprezentarea intereselor profesionale si sociale ale membrilor sai in scopul afirmarii rolului artistului plastic.,,,,,,
ASOCIATIA "TAXIMETRISTILOR PARTICULARI CAPITOL" TIMISOARA,534/A/1994,,,,TIMIS,TIMISOARA,TIMISOARA ,STR.VLADEASA NR.5,SC A.AP.8,-de a apara interesele de grup ale membrilor acesteia cu respectarea suveranitatii independendentei si integritatii nationale a democratiei si drepturile cetatenilor.,,,,,,
ASOCIATIA CASA DE AJUTOR RECIPROC A SALARIATILOR CEC GIURGIU,11660/A/2010,,,,GIURGIU,GIURGIU,STR. GĂRII, NR. 1,,,,,,,
ASOCIATIA CASA DE AJUTOR RECIPROC DUNAREA,11638/A/2010,,,,GIURGIU,GIURGIU,ŞOS. PORTULUI, NR. 1,FĂRĂ SCOP LUCRATIV,,,,,,
ASOCIATIA CASA DE AJUTOR RECIPROC DUNAREA,12966/A/2010,,,,GIURGIU,GIURGIU,ŞOS. PORTULUI, NR. 1,Dezvoltarea legăturilor de solidaritate, sprijin şi întrajutorare materială a mebrilor săi.,,,,,,
ASOCIATIA CASELOR DE  AJUTOR RECIPROC- REGIUNEA VEST- ,48/D/1997,,,,HUNEDOARA,M.KOGĂLNICEANU, NR.4, CAMERA 20-27,,SCOPUL,Scopul Asociației CAR Regiunea Vest este sprijinirea, coordonarea și reprezentarea caselor de ajutor reciproc afiliate, pentru activitatea desfășurată și ¯n raport cu instituțiile și organizațiile locale, naționale și internaționale.,,,,,
ASOCIATIA DE INITIATIVA CULTURALA SI DE PROMOVARE A TALENTULUI,86/D/1990,,,,HARGHITA,BALAN,STR. REPUBLICII BL.5/105,Promovarea tinerelor talente indiferent de nationalitate, sex, religie.,,,,,,
ASOCIATIA TIP PROFESIONAL NY.I.T.,78/D/1990,,,,HARGHITA,MIERCUREA-CIUC,STR. PETOFI NR.40,Sustine si coordoneaza munca celor care activeaza in acest domeniu.,,,,,,
ASOCIATIA UNIUNEA JUDETEANA A COOPERATIEI DE CONSUM IALOMITA,13/D/2005,,,,IALOMITA,SLOBOZIA,B-DUL COSMINULUI, BL. BN5, ET.1,,De a asigura reprezentarea şi apărarea intereselor societăţii cooperative de consum asociate în relaţiile cu administraţia publică, autoritatea de stat, alte persoane fizice şi juridice, publice sau private, române sau străine precum şi pentru susţinerea şi promovarea principiilor cooperatiste conform prevederilror legii-,,,,,,
ASOCIATIILOR APOSTOLICE A ROMILOR DIN ROMANIA,7/D/2000,,,,MURES,TG-MURES,STR.DOROBANTILOR NR.50,Retragerea din uniune a Fundatiei ADUNAREA LIBERA CRESTINEASCA MISIUNE CINCIZECIMII Tg-Mures.,,,,,,
ASOCIAŢIA PATRONALĂ DIN TRANSPORTURI NAVALE ŞI EXPLOATĂRI PORTUARE,1/D/2014,,,,GALATI,GALAŢI,STR.PORTULUI NR.34,sa reprezinte interesele comune ale tuturor agenţilor economici care desfăşoară activitate de transporturi navale şi exploatări portuare pe teritoriul României,,,,,,
BETANIA,52/D/1997,,,,SIBIU,MEDIAS,MARASESTI 41,,,,,,,
BLOCUL NAŢIONAL SINDICAL FILIALA BUZĂU,10215/D/2009,,,,BUZAU,BUZĂU,STR.CRIZANTEMEOR, NR16,Activitate sindicala,,,,,,
C.A.R. A S.C. OLIMPIA ORADEA,11/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. ADMINISTRATIA FINANCIARA ORADEA,24/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. DIN CADRUL S.C. " PROLIBRIS" S.A. TARGOVISTE,20/D/1992,,,,DAMBOVITA,TARGOVISTE,BD. LIBERTATII, BL.B1-B.2,Dezvoltarea legaturilor de solidaritate, sprijin de intrajutorare materiala a membrilor sai, prin acordarea de imprumuturi.,,,,,,
C.A.R. DRUMURI NATIONALE ORADEA,14/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. FRIGOEXPRES ORADEA,13/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. INVATAMANT ORADEA,9/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. METALICA ORADEA,25/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. MIORITA ORADEA,12/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. MOBILSAL S.A. SALONTA,19/D/1997,,,,BIHOR,SALONTA,,,,,,,,
C.A.R. MODEX ORADEA,20/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. O.T.L. R.A. ORADEA,15/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. ROMCIM SA ALESD,23/D/1997,,,,BIHOR,ALESD,,,,,,,,
C.A.R. S.C. AVINTUL ORADEA,16/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. S.C. CONSTRUCTII BIHOR ORADEA,22/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. S.C. LUSO S.A. ORADEA,17/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. SPITALUL MARGHITA,21/D/1997,,,,BIHOR,MARGHITA,,,,,,,,
C.A.R. TELECOMUNICATII BIHOR ORADEA,10/D/1997,,,,BIHOR,ORADEA,,,,,,,,
C.A.R. VINALCOL BIHOR ORADEA,18/D/1997,,,,BIHOR,ORADEA,,,,,,,,
CAR DIRECTIA DE TELECOMUNICATII BUZĂU IFN,19595/D/2014,radiata,,,BUZAU,BUZĂU,STR. INDEPENDENŢEI NR. 65,,,,,,,
CASA DE AJUTOR RECIPROC - D.M.P.S. D-TA,23/D/1996,,,,DAMBOVITA,TARGOVISTE,STR. CALEA DOMNEASCA, NR. 231,Dezvoltarea legaturilor de solidaritate, sprijin si intrajutorare materiala a membrilor sai, prin acordarea de imprumuturi.,,,,,,
CASA DE AJUTOR RECIPROC "CAP SILVA" M-CIUC,8/D/1993,,,,HARGHITA,M-CIUC,STR. G. COSBUC NR.78,Promovarea relatiilor de sprijin si intrajutorare materiala a membrilor sai.,,,,,,
CASA DE AJUTOR RECIPROC "LEMECO" M-CIUC,17/D/1993,,,,HARGHITA,MIERCUREA-CIUC,STR. HARGHITA NR.1,Dezvoltarea legaturilor de solidaritate, si intrajutorare materiala a membrilor sai, prin acordarea de imprumuturi.,,,,,,
CASA DE AJUTOR RECIPROC A INSPECTORATULUI DE POLIÞIE JUDEÞEAN ARAD,7/D/2004,,,,ARAD,ARAD STR I CALVIN NR 17-21,Arad, str. Vârful cu Dor, nr. 17-21, jud. Arad, conform nomenclatorului stradal,Acordarea de imprumuturi cu dobinda care se reintoarce la fondul social dupa deducerea cheltuielilor statutare,,,,,,
CASA DE AJUTOR RECIPROC A SALARIATILOR ANTREPRIZA DRUMURI SI PODURI ARAD,1/D/2005,,,,ARAD,ARAD,STR ARDEALULUI NR 39,atragerea de membrii prin acordarea de împrumuturi cu dobândã care sa se reîntoarcã la fondul social; participa toti membrii la activitati;,,,,,,
CASA DE AJUTOR RECIPROC A SALARIATILOR DIN SC DAMBOVITA SA TARGOVISTE,2347/D/2004,,,,DAMBOVITA,TARGOVISTE,CALEA DOMNEASCA NR 215,,,,,,,
CASA DE AJUTOR RECIPROC CHIMALTEX TARGOVISTE,2346/D/2004,dizolvata,,,DAMBOVITA,TARGOVISTE,BD UNIRII NR 18,,,,,,,
CASA DE AJUTOR RECIPROC DE PE LANGA S.C.C.A.HAROLT M-CIUC,16/D/1993,,,,HARGHITA,MIERCUREA-CIUC,STR. PETOFI NR.53,Dezvoltarea lagaturilor de solidaritate, sprijin si intrajutorare materiala a membrilor sai, prin acordarea de imprumuturi.,,,,,,
CASA DE AJUTOR RECIPROC DIN SOCIETATEA COMERCIALA DE TURISM PUCIOASA,318/D/1991,,,,DAMBOVITA,PUCIOASA,STR. GARII, NR.4,Dezvoltarea legaturilor de solidaritate, sprijin si intrajutorare materiala prin acordarea de imprumuturi,,,,,,
CASA DE AJUTOR RECIPROC FILIALA ELECTRICE,2/D/1997,,,,BIHOR,ORADEA,,,,,,,,
CASA DE AJUTOR RECIPROC I.M. HARGHITA,7/D/1993,,,,HARGHITA,M-CIUC,STR. HARGHITA NR.98,Promovarea relatiilor de sprijin si intrajutorare materiala a membrilor sai.,,,,,,
CASA DE AJUTOR RECIPROC SOLIDARITATEA ARAD A LIGII PENSIONARILOR,14/D/2003,,,,ARAD,BDUL REVOLUTIEI NR 74,,ajutorarea si intrajutorarea si ocrotirea persoanelor virstnice, pensionari in nevoie, dificultati banesti, protectie sociala eficienta pe baza principiului solidaritatii si a spiritului de caritate,,,,,,
CENTRUL ZONAL DE SUPRAVEGHERE ECOLOGICA BIHOR,3/D/1997,,,,BIHOR,ORADEA,,,,,,,,
CERCUL AGRICOL CIUCSANGIORGIU,27/D/1991,,,,HARGHITA,MIERCUREA-CIUC,CLADIREA PRIMARIEI, CIOCSANGIORGIU,Apara drepturile si interesele individuale si colective ale membrilor.,,,,,,
CERCUL AGRICOL DIN CICEU,14/D/1991,,,,HARGHITA,CICEU,SICULENI, CLADIREA FOSTULUI CAP,Apara interesele micilor agricultori si mici meseriasi de la orase si sate.,,,,,,
CERCUL AGRICOL DIN SATUL CETATUIA,12/D/1991,,,,HARGHITA,CETATUIA,,Educarea taranimii pentru aplicarea legii funciare.,,,,,,
CERCUL AGRICOL DIN TUSNAD SAT,25/D/1991,,,,HARGHITA,TUSNAD SAT,NR.176,Apara interesele individuale si comune ale membrilor.,,,,,,
CERCUL AGRICOLSANCRAIENI,26/D/1991,,,,HARGHITA,SANCRAIENI,SEDIUL CAP,Apara interesele individuale si colective ale membrilor.,,,,,,
CERCUL AGRICULTORILOR SANSIMION,8/D/1991,,,,HARGHITA,SANSIMION,,Apara drepturile individuale si colective ale membrilor.,,,,,,
CLUB BLACK DRAGON,2345/A/2004,,,,DAMBOVITA,IEDERA,SAT IEDERA DE JOS,STR.PRINCIPALA NR 253, JUD DAMBOVITA,organizarea si administrarea activitatilor sportive si cultural-educative, a pregatirii teoretice si practice in vderea participariila commpetitiile sportive interne si internationale, a practicarii si raspandirii disciplinei karate-shorin-ryu,,,,,,
CLUB SPORTIV DE KARATE "AIKO" DAMBOVITA,43/D/1997,radiata,,,DAMBOVITA,COM DOBRA,NR 300,Descoperirea si indrumarea tinerelor talente in sport, practicarea karate-ului si a altor arte martiale, respectand toate regulamentele si instructiunile Ministerului Tineretului si Sportului si federatiei Romane de Arte Martiale.,,,,,,
CLUB SPORTIV GOJU KAI KARATE - DO,22/D/1996,,,,DAMBOVITA,TARGOVISTE,STR. ARMONIEI, BL.9, SC.AP.12,Indrumarea tinerelor talente in sport, practicarea Karatecului si promovarea acestuia de catre membrii si participarea la activitatiile si competitiile sportive, scopul final constituindu-l obtinerea de performante sportive in karate.,,,,,,
CLUBUL CULTURAL SPORTIV SI DISTRACTIV TARGOVISTE,125/D/1990,,,,DAMBOVITA,TARGOVISTE,B-DUL CASTANILOR NR. 34,De a pune la dispozitia membrilor de sindicat din invatamant, baza materiala cultural educativa si distractiva, pentru petrecerea timpului liber in mod util si placut pentru ei si familiile lor.,,,,,,
CLUBUL DE ARHEOSPEOLOGIE " C.C. NICOLAESCU - PLOPSOR",463/A/1993,,,,DAMBOVITA,TARGOVISTE,UNIVERSITATEA, BD.CASTANILOR, NR.70,- Creerea unei emulatii stiintifice autentice in randul studentilor universitatiii din Targoviste;,,,,,,
CLUBUL DE BRIDGE "VALAHIA",45/D/1997,,,,DAMBOVITA,TARGOVISTE,STR T VLADIMIRESCU, BL 30, SC A, AP 4,Dezvoltarea si promovarea practicarii jocului de bridge in orasul Targoviste si in judetul Dambovita.,,,,,,
CLUBUL FOTOGRAFIC NUFARUL ORADEA,18/D/1999,,,,BIHOR,ORADEA,,,,,,,,
CLUBUL JUDETEAN AL MEDICILOR DIN ROMANIA,44/D/1997,,,,DAMBOVITA,TARGOVISTE,STR T VLADIMIRESCU, NR 78,Sprijinirea planurilor de dezvoltare a corpului medical si a serviciilor de sanatate elaborate la nivel central, potrivit nevoilor judetului;,,,,,,
CLUBUL SHORIN - MATSUBAYESCHI KARATE - DO ROMANIA,12/D/1992,,,,DAMBOVITA,Targoviste,Bd Unirii, bl 64, ap 45, jud Dambovita,Pregatirea teoretica si practica a tinerilor in vederea participarii la conditiile sportive interne si internationale,De a pregati tinerii teoretic si practic in vederea participarii la competitii sportive interne si internationale, de a raspandi artele martiale karate Shorin- Ryu si Kobudo ca sport de masa si de promovarea tinerilor talentati in sportul de performanta romanesc.,,,,,
CLUBUL SPORTIV "ARCTIC" GAESTI,2622/A/2001,,,,DAMBOVITA,GAESTI,STR. 13 DECEMBRIE, NR.210,,,,,,,
CLUBUL SPORTIV "PETROM FLACARA" MORENI,458/A/1993,,,,DAMBOVITA,MORENI,STR. A.I. CUZA, NR.7-9,- Asigurarea practicarii fotbalului la toate nivelele, organizarea de competitii sportive atat in tara cat si in strainatate;,,,,,,
CLUBUL SPORTIV "PETROM" MORENI,1364/A/2002,,,,DAMBOVITA,MORENI,STR. 22 DECEMBRIE 1989, NR.40,,,,,,,
CLUBUL SPORTIV "YOI SHOTOKAN AK" TARGOVISTE,1/D/2295,,,,DAMBOVITA,TARGOVISTE,STR. MELODIILOR, BL. 23, SC.C, ET. 1, AP. 46,Indrumarea tinerelor talente in sport, practicarea karatecului si promovarea acestuia de catre membrii. Participarea la activitati si competitii sportive, scopul constituind-ul obtineri de performanta la karate.,,,,,,
CLUBUL SPORTIV DE WU-SHU VOINTA,42/D/1997,,,,DAMBOVITA,TARGOVISTE,STR CONSTANTIN BRANCOVEANU, BL 19, SC A, AP 23,Intreaga activitate a clubului este subordonata scopului dezvoltarii miscarii sportive. initierii si perfectionari celor interesati, mai ales a tinerilor, scopul final constituindu-l obtinerea de performante sportive.,,,,,,
COMITETUL CETATENESC DE PARINTI,11/D/1993,,,,HARGHITA,MIERCUREA-CIUC,STR. PETOFI SANDOR NR.40,Sprjinirea activitatii instructiv educative, imbunatatirea conditiilor de studiu.,,,,,,
COMITETUL CETATENESC DE PARINTI AL SCOLII GENERALE NR.10 "ADY ENDRE" M-CIUC,5/D/1996,,,,HARGHITA,MIERCUREA-CIUC,BD. FRATIEI NR.20,Sprijinirea activitatii instructiv-educative, imbunatatirea conditiilor de studiu, sprijinirea materiala a elevilor.,,,,,,
COMITETUL CETATENESC DE PARINTI PE LANGA SCOALA GEN NR.8 "JOZSEF ATTILA" M-CIUC,10/D/1993,,,,HARGHITA,MIERCUREA-CIUC,STR. 1 MAI NR.1,Realizarea invatamantului generak obligatoriu si asigurarea unei bune fregvente ale elevilor.,,,,,,
COMITETUL DE PARINTI A SCOLII GENERALE NR.1 "PETOFI SANDOR" DIN M-CIUC,12/D/1993,,,,HARGHITA,MIERCUREA-CIUC,STR. PETOFI SANDOR NR.40,Sprijinirea conducerii scolii in buna administratie a institutiei.,,,,,,
COMITETUL DIN ROMANIA PENTRU INDUSTRIA DE ARMATURI ( C.R.I.A.),316/D/1991,,,,DAMBOVITA,TARGOVISTE,STR. 1 MAI ,NR.42,De a participa la activitatea de cercetare, proiectare , testare si alte activitati, care promovate, pot conduce la dezvoltarea industriei de armaturi;,promovarea  unui comportament managerial corespunzator cerintelor economiei de piata, in vederea sustinerii si protejarii intereselor membrilor acesteia si a facilitarii contactelor directe cu organele de stat guvernamentale si legislative,,,,,
COMUNELOR GRANICERESTI NASAUDENE,118/D/1990,,,,BISTRITA NASAUD,Nasaud, B-dul Granicerilor, nr.14, jud.Bistrita -Nasaud,B-DUL GRANICERILOR, 19,,redobandirea proprietatii asupra averilor graniceresti preluate abuziv  de statul comunist, cu titlu sau fara titlu,,,,,
CONFEDERATIA "UNIUNEA NATIONALA A PATRONATELOR CU CAPITAL PRIVAT DIN ROMÂNIA,3/D/2009,,,,BUCURESTI,Str. Luigi Galvani nr.17-19, sector 2,Str. Vitan Bârzeşti, nr. 9B, sector 4,sustinerea, promovarea, reprezentarea si apararea intereselor si drepturile patronilor, a asociatiilor patronale si a liber profesionistilor care desfasoara activitati economice autorizate.,susţinerea, promovarea, reprezentarea, apărarea intereselor şi drepturilor patronilor, a organizaţiilor patronale, asociaţiilor profesionale şi a persoanelor fizice autorizate care desfăşoară activităţi economice în mod legal în raport cu autorităţile publice centrale şi locale, cu sindicatele şi cu alte persoane juridice sau fizice în raport de obiectul, scopul şi domeniul lor de activitate, în plan naţional şi internaţional, potrivit statutului propriu şi a legilor în vigoare.,,,,,
CONFEDERATIA PATRONALA A INDUSTRIEI, SERVICIILOR SI COMERTULUI DIN ROMANIA - VOCEA PATRONATULUI ROMANESC CPISC,2365/D/2004,,,,CONSTANTA,CONSTANTA,STR. N IORGA, NR.89A, SEDIUL FDFEE ELECTRICA DOBROGEA SA,SERVICII DE REPREZENTARE A INTERESELOR ECONOMICE, TEHNICE SI JURIDICE A LE MEMBRILOR,,,,,,
CONFEDERATIA PATRONALA A INDUSTRIEI,SERVICIILOR SI COMERTULUI-OFICIUL PATRONAL JUDETEAN GIURGIU,2361/D/2004,,,,GIURGIU,GIURGIU,STR. FRUMOASEI NR.2,ORGANIZEAZÃ ACTIVITATEA IN SCOPUL REPREZENTÃRII ÎN INTERESELE ANGAJATORILOR DIN TOATE JUDEÞELE ÞÃRII SI MUNICIPIUL BUCUREªTI, AMELIORAREA GRADULUI DE INTEGRARE INTERNAÞIONALÃ A ECONOMIEI ROMÂNEªTI,IMPLICAREA DIRECTÃ ÎN PROBLEMATICA SOCIALA,,,,,,
CONGRAGATIA MARTORII LUI IEHOVA - BAIA MARE - FERNEZIU,32/D/1999,dizolvata,,,MARAMURES,BAIA MARE,STR. LUNCI NR. 93,Marturisirea in comun si raspindirea invataturilor biblice si a credintei crestine,,,,,,
CONGRAGATIA MARTORII LUI IEHOVA CORUIA,34/D/1999,dizolvata,,,MARAMURES,COAS NR. 211/A,,Marturisirea in comun si raspindirea invataturilor biblice si a credintei crestine,,,,,,
CONGREGATAI MARTORII LUI IEHOVA TAUTII DE SUS,29/D/1999,dizolvata,,,MARAMURES,SATU NOU DE SUS NR. 313/A,,Marturisirea in comun si raspindirea invataturilor biblice si a credintei crestine,,,,,,
CONGREGATIA "ARTORII LUI IEHOVA"- RONA DE JOS,30/D/2000,,,,MARAMURES,RONA DE JOS,NR. 609,Marturisirea in comun ai raspindirea invataturilor biblice si a credintei crestine,,,,,,
CONGREGATIA "MARTORII LUI IEHIVA"-SLATIOARA,26/D/2000,,,,MARAMURES,SLATIOARA,STR. PRINCIPALA NR. 2000,Marturisirea in comun a invataturilor biblice si a credintei crestine care consta in procalmarea numelui lui IEHOVA,,,,,,
CONGREGATIA "MARTORII LUI IEHOVA' - RONA DE SUS-IHROVASEA,23/D/2000,,,,MARAMURES,RONA DE SUS,NR. 838/A,Marturisirea in comun a invataturilor biblice si a credintei crestine care consta in procalmarea numelui lui IEHOVA,,,,,,
CONGREGATIA "MARTORII LUI IEHOVA"- GIULESTI,21/D/2000,,,,MARAMURES,GIULESTI,SAT FERESTI NR. 109,Marturisirea in comun a invataturilor biblice si a credintei crestine care consta in procalmarea numelui lui IEHOVA,,,,,,
CONGREGATIA "MARTORII LUI IEHOVA"-VADU IZEI,24/D/2000,,,,MARAMURES,VADU IZEI,NR. 89/A,Marturisirea in comun a invataturilor biblice si a credintei crestine care consta in procalmarea numelui lui IEHOVA,,,,,,
CONGREGATIA "MARTORII LUI IEHOVA" - COSTIUI,22/D/2000,,,,MARAMURES,RONA DE SUS,NR. 838/A,Marturisirea in comun a invataturilor biblice si a credintei crestine care consta in procalmarea numelui lui IEHOVA,,,,,,
CONGREGATIA "MARTORII LUI IEHOVA" - RONA DE SUS,20/D/2000,,,,MARAMURES,RONA DE SUS,NR. 838/A,Marturisirea in comun a invataturilor biblice si a credintei crestine care consta in procalmarea numelui lui IEHOVA,,,,,,
